fiscal_year,strategic_area,department_name,department_alias,operating_budget,capital_budget,employee_count,is_actual
FY 2022-23,Policy Formulation,Office of the Mayor,,8301000,0,,true
FY 2022-23,Policy Formulation,Board of County Commissioners,,31581000,0,,true
FY 2022-23,Policy Formulation,County Attorney's Office,,25687000,0,,true
FY 2022-23,Public Safety,Corrections and Rehabilitation,,479519000,0,,true
FY 2022-23,Public Safety,Fire Rescue,,616156000,0,,true
FY 2022-23,Public Safety,Emergency Management,,6582000,0,,true
FY 2022-23,Public Safety,Judicial Administration,,38597000,0,,true
FY 2022-23,Public Safety,Juvenile Services,,16432000,0,,true
FY 2022-23,Public Safety,Law Library,,337000,0,,true
FY 2022-23,Public Safety,Legal Aid,,4711000,0,,true
FY 2022-23,Public Safety,Medical Examiner,,15028000,0,,true
FY 2022-23,Public Safety,Miami-Dade Economic Advocacy Trust,,868000,0,,true
FY 2022-23,Public Safety,Clerk of the Court and Comptroller,,18211000,0,,true
FY 2022-23,Public Safety,Sheriff's Office,,865813000,0,,true
FY 2022-23,Public Safety,General Government Improvement Fund,,17751000,0,,true
FY 2022-23,Public Safety,Non-Departmental,,10923000,0,,true
FY 2022-23,Public Safety,Independent Civilian Panel,,400000,0,,true
FY 2022-23,Transportation & Mobility,Office of the Citizens' Independent Transportation Trust,,2743000,0,,true
FY 2022-23,Transportation & Mobility,Transportation and Public Works,,756971000,0,,true
FY 2022-23,Transportation & Mobility,Non-Departmental,,31797000,0,,true
FY 2022-23,Recreation & Culture,Adrienne Arsht Center for the Performing Arts Trust,,14409000,0,,true
FY 2022-23,Recreation & Culture,Cultural Affairs,,48388000,0,,true
FY 2022-23,Recreation & Culture,HistoryMiami,,4000000,0,,true
FY 2022-23,Recreation & Culture,Library,,85008000,0,,true
FY 2022-23,Recreation & Culture,"Parks, Recreation and Open Spaces",,184165000,0,,true
FY 2022-23,Recreation & Culture,Perez Art Museum Miami,,4000000,0,,true
FY 2022-23,Recreation & Culture,Tourist Taxes,,207066000,0,,true
FY 2022-23,Recreation & Culture,Vizcaya Museum and Gardens,,4000000,0,,true
FY 2022-23,Recreation & Culture,General Government Improvement Fund,,2805000,0,,true
FY 2022-23,Recreation & Culture,Non-Departmental,,3811000,0,,true
FY 2022-23,Neighborhood & Infrastructure,Animal Services,,32832000,0,,true
FY 2022-23,Neighborhood & Infrastructure,"Parks, Recreation and Open Spaces",,67852000,0,,true
FY 2022-23,Neighborhood & Infrastructure,Regulatory and Economic Resources,,171774000,0,,true
FY 2022-23,Neighborhood & Infrastructure,Solid Waste Management,,409234000,0,,true
FY 2022-23,Neighborhood & Infrastructure,Transportation and Public Works,,34354000,0,,true
FY 2022-23,Neighborhood & Infrastructure,Water and Sewer,,757574000,0,,true
FY 2022-23,Neighborhood & Infrastructure,General Government Improvement Fund,,14531000,0,,true
FY 2022-23,Neighborhood & Infrastructure,Non-Departmental,,35954000,0,,true
FY 2022-23,Health & Society,Community Services,,181234000,0,,true
FY 2022-23,Health & Society,Homeless Trust,,64775000,0,,true
FY 2022-23,Health & Society,Jackson Health System,,263532000,0,,true
FY 2022-23,Health & Society,Management and Budget,,28472000,0,,true
FY 2022-23,Health & Society,Housing and Community Development,,107048000,0,,true
FY 2022-23,Health & Society,General Government Improvement Fund,,9759000,0,,true
FY 2022-23,Health & Society,Non-Departmental,,88664000,0,,true
FY 2022-23,Economic Development,Aviation,,547863000,0,,true
FY 2022-23,Economic Development,Miami-Dade Economic Advocacy Trust,,4316000,0,,true
FY 2022-23,Economic Development,Housing and Community Development,,138292000,0,,true
FY 2022-23,Economic Development,Regulatory and Economic Resources,,6653000,0,,true
FY 2022-23,Economic Development,Seaport,,130582000,0,,true
FY 2022-23,Economic Development,Non-Departmental,,95091000,0,,true
FY 2022-23,General Government,Audit and Management Services,,5907000,0,,true
FY 2022-23,General Government,Commission on Ethics and Public Trust,,2805000,0,,true
FY 2022-23,General Government,Communications and Customer Experience,,21023000,0,,true
FY 2022-23,General Government,Supervisor of Elections,,31969000,0,,true
FY 2022-23,General Government,Finance,,30749000,0,,true
FY 2022-23,General Government,Inspector General,,7485000,0,,true
FY 2022-23,General Government,Tax Collector,,26962000,0,,true
FY 2022-23,General Government,Human Resources,,19670000,0,,true
FY 2022-23,General Government,Information Technology,,232304000,0,,true
FY 2022-23,General Government,Internal Services,,297593000,0,,true
FY 2022-23,General Government,Management and Budget,,16579000,0,,true
FY 2022-23,General Government,Property Appraiser,,54121000,0,,true
FY 2022-23,General Government,General Government Improvement Fund,,18670000,0,,true
FY 2022-23,General Government,Non-Departmental,,146966000,0,,true
FY 2022-23,General Government,Strategic Procurement,,16976000,0,,true
FY 2022-23,Constitutional Offices,Clerk of the Court and Comptroller,,1791000,0,,true
FY 2022-23,Constitutional Offices,Transfers,,30050000,0,,true
